model_scale,dataset,train_tokens,steps_required,activation,activation_display_name,optimizer,optimizer_display_name,method,method_display_name,runs_total,runs_reached_required_step,runs_stopped_early,runs_non_finite,endpoint_seed_count,validation_loss_mean,validation_loss_sample_std,matched_control_seed_count,matched_control_validation_loss_mean,lead_vs_matched_control_mean,lead_vs_matched_control_sample_std,exact_time_ratio_seed_count,exact_total_time_ratio_mean,exact_total_time_ratio_sample_std,total_seconds_mean,total_seconds_sample_std,mean_seconds_per_step,tokens_per_second_mean,status
12l_768d,c4_en,100000000,3050,rlb_fused_global_rational,GRAIN,adamw,AdamW,rlb_adamw,GRAIN + AdamW,3,3,0,0,3,4.442616,0.01980321006806686,3,4.446912,0.0042960000000000775,0.004034657730216927,0,,,1437.8110898187151,147.13725868594753,0.4437423724766523,74422.62615681137,complete
12l_768d,c4_en,100000000,3050,silu,SwiGLU,adamw,AdamW,silu_adamw,SwiGLU + AdamW,3,3,0,0,3,4.446912,0.0159760510452361,0,,,,0,,,1360.8573552936625,227.16215289867966,0.4277459588642187,78068.04100877725,complete
12l_768d,c4_en,300000000,9150,rlb_fused_global_rational,GRAIN,adamw,AdamW,rlb_adamw,GRAIN + AdamW,3,3,0,0,3,3.978731314341227,0.009773453380975823,3,3.9811052481333413,0.002373933792114258,0.0033000161484549933,0,,,4106.3592081319075,332.2300722804958,0.4237411182458968,77714.42479065672,complete
12l_768d,c4_en,300000000,9150,silu,SwiGLU,adamw,AdamW,silu_adamw,SwiGLU + AdamW,3,3,0,0,3,3.9811052481333413,0.01275174734167452,0,,,,0,,,4386.256543087664,784.750274867532,0.4622590455537354,72773.12465399463,complete
12l_768d,dclm,100000000,3050,rlb_fused_global_rational,GRAIN,adamw,AdamW,rlb_adamw,GRAIN + AdamW,3,3,0,0,3,4.4047480000000006,0.004550847503487413,3,4.405573666666666,0.0008256666666666135,0.007364676865506496,0,,,1349.3264810300122,74.1154923108936,0.41537963154781293,79073.6865204686,complete
12l_768d,dclm,100000000,3050,silu,SwiGLU,adamw,AdamW,silu_adamw,SwiGLU + AdamW,3,3,0,0,3,4.405573666666666,0.009903112860778995,0,,,,0,,,1964.3547995973302,19.718318812115534,0.6259346787053909,52353.797358951015,complete
12l_768d,dclm,300000000,9150,rlb_fused_global_rational,GRAIN,adamw,AdamW,rlb_adamw,GRAIN + AdamW,3,3,0,0,3,4.049575328826904,0.029795847460225226,3,4.049337069193522,-0.00023825963338216147,0.0031922887118353243,0,,,4304.777301566636,427.55082058412626,0.44342803239627365,74441.13974856495,complete
12l_768d,dclm,300000000,9150,silu,SwiGLU,adamw,AdamW,silu_adamw,SwiGLU + AdamW,3,3,0,0,3,4.049337069193522,0.027468514117178572,0,,,,0,,,4256.248164547996,602.8328731547176,0.44776152615356574,74246.11295976948,complete
12l_768d,dolma_sample,100000000,3050,rlb_fused_global_rational,GRAIN,adamw,AdamW,rlb_adamw,GRAIN + AdamW,3,3,0,0,3,4.488137,0.0008943696103961718,3,4.486161333333333,-0.001975666666666894,0.0020980813457380934,0,,,1484.7260110336356,22.824072008432534,0.45932396766125594,71351.68067820372,complete
12l_768d,dolma_sample,100000000,3050,silu,SwiGLU,adamw,AdamW,silu_adamw,SwiGLU + AdamW,3,3,0,0,3,4.486161333333333,0.0012038788698758415,0,,,,0,,,1524.9167221076787,236.99019318833544,0.4809612942465044,69457.8646149189,complete
12l_768d,dolma_sample,300000000,9150,rlb_fused_global_rational,GRAIN,adamw,AdamW,rlb_adamw,GRAIN + AdamW,3,3,0,0,3,3.904542605082194,0.00820983252129847,3,3.9036900997161865,-0.0008525053660074869,0.001771308306889179,0,,,3908.0189192834464,347.8773847336703,0.4025446241237603,81843.56499019235,complete
12l_768d,dolma_sample,300000000,9150,silu,SwiGLU,adamw,AdamW,silu_adamw,SwiGLU + AdamW,3,3,0,0,3,3.9036900997161865,0.0090907065734535,0,,,,0,,,3811.153168620658,366.7772498872206,0.3990540249694117,82647.80189060308,complete
12l_768d,fineweb,100000000,3050,rlb_fused_global_rational,GRAIN,adamw,AdamW,rlb_adamw,GRAIN + AdamW,3,3,0,0,3,4.4705303333333335,0.013304728645610818,3,4.475840666666667,0.0053103333333333795,0.004102478803520203,0,,,1474.14521254537,26.361352479322036,0.45605740032481723,71866.47611175948,complete
