run_index,model_scale,dataset,seed,train_tokens,steps_required,steps_completed,status,activation,activation_display_name,optimizer,optimizer_display_name,method,method_display_name,step1000_validation_loss,final_validation_loss,final_validation_perplexity,matched_control_step1000_validation_loss,matched_control_validation_loss,lead_at_step1000_vs_matched_control,lead_vs_matched_control,time_scope,total_seconds,matched_control_total_seconds,total_time_ratio_vs_matched_control,training_loop_total_seconds,mean_seconds_per_step,tokens_per_second,stopped_early,lr_wd_fairness_passed,realized_lr_trace_sha256,slurm_job_id,slurm_restart_count,slurm_node,timing_attempt_id,source_phase,source_row_index,source_row_id,source_jsonl,source_jsonl_sha256
179,12l_768d,c4_en,1337,100000000,3050,3050,complete,rlb_fused_global_rational,GRAIN,adamw,AdamW,rlb_adamw,GRAIN + AdamW,,4.419761,,,4.428479,,0.008718000000000004,training_loop,1501.2441986240447,,,1501.2441986240447,0.4644551223508665,70551.48801921458,False,,,982111,0,damle-compute-01,982111:0:1782483555,12l_768d_100m_tokens_3050_steps,179,12l_768d_100m_tokens_3050_steps_c4_en_seed1337_rlb_adamw,,
178,12l_768d,c4_en,1337,100000000,3050,3050,complete,silu,SwiGLU,adamw,AdamW,silu_adamw,SwiGLU + AdamW,,4.428479,,,,,,training_loop,1623.0442129889852,,,1623.0442129889852,0.5145198849199014,63686.557041621825,False,,,,,,,12l_768d_100m_tokens_3050_steps,178,12l_768d_100m_tokens_3050_steps_c4_en_seed1337_silu_adamw,,
193,12l_768d,c4_en,2027,100000000,3050,3050,complete,rlb_fused_global_rational,GRAIN,adamw,AdamW,rlb_adamw,GRAIN + AdamW,,4.453408,,,4.456763,,0.003354999999999997,training_loop,1542.5919838320697,,,1542.5919838320697,0.47630657366414253,68796.02720559061,False,,,982118,0,ellis-compute-02,982118:0:1782487230,12l_768d_100m_tokens_3050_steps,193,12l_768d_100m_tokens_3050_steps_c4_en_seed2027_rlb_adamw,,
192,12l_768d,c4_en,2027,100000000,3050,3050,complete,silu,SwiGLU,adamw,AdamW,silu_adamw,SwiGLU + AdamW,,4.456763,,,,,,training_loop,1236.5596933970228,,,1236.5596933970228,0.38734682231517553,84596.02121980855,False,,,,,,,12l_768d_100m_tokens_3050_steps,192,12l_768d_100m_tokens_3050_steps_c4_en_seed2027_silu_adamw,,
207,12l_768d,c4_en,3407,100000000,3050,3050,complete,rlb_fused_global_rational,GRAIN,adamw,AdamW,rlb_adamw,GRAIN + AdamW,,4.454679,,,4.455494,,0.0008150000000002322,training_loop,1269.597087000031,,,1269.597087000031,0.3904654214149479,83920.36324562892,False,,,982125,0,seo-compute-01,982125:0:1782493866,12l_768d_100m_tokens_3050_steps,207,12l_768d_100m_tokens_3050_steps_c4_en_seed3407_rlb_adamw,,
206,12l_768d,c4_en,3407,100000000,3050,3050,complete,silu,SwiGLU,adamw,AdamW,silu_adamw,SwiGLU + AdamW,,4.455494,,,,,,training_loop,1222.9681594949798,,,1222.9681594949798,0.3813711693575789,85921.54476490137,False,,,,,,,12l_768d_100m_tokens_3050_steps,206,12l_768d_100m_tokens_3050_steps_c4_en_seed3407_silu_adamw,,
11,12l_768d,dclm,1337,100000000,3050,3050,complete,rlb_fused_global_rational,GRAIN,adamw,AdamW,rlb_adamw,GRAIN + AdamW,,4.401357,,,4.394192,,-0.007164999999999644,training_loop,1264.9157736300258,,,1264.9157736300258,0.3877617459151625,84505.49943410157,False,,,,,,,12l_768d_100m_tokens_3050_steps,11,12l_768d_100m_tokens_3050_steps_dclm_seed1337_rlb_adamw,,
10,12l_768d,dclm,1337,100000000,3050,3050,complete,silu,SwiGLU,adamw,AdamW,silu_adamw,SwiGLU + AdamW,,4.394192,,,,,,training_loop,1956.2715493649885,,,1956.2715493649885,0.6229806435759919,52598.74498171775,False,,,,,,,12l_768d_100m_tokens_3050_steps,10,12l_768d_100m_tokens_3050_steps_dclm_seed1337_silu_adamw,,
25,12l_768d,dclm,2027,100000000,3050,3050,complete,rlb_fused_global_rational,GRAIN,adamw,AdamW,rlb_adamw,GRAIN + AdamW,,4.409920,,,4.412221,,0.0023010000000001085,training_loop,1403.7478307050187,,,1403.7478307050187,0.4338626064532949,75526.21385804415,False,,,982033,0,rush-compute-02,982033:0:1782429084,12l_768d_100m_tokens_3050_steps,25,12l_768d_100m_tokens_3050_steps_dclm_seed2027_rlb_adamw,,
24,12l_768d,dclm,2027,100000000,3050,3050,complete,silu,SwiGLU,adamw,AdamW,silu_adamw,SwiGLU + AdamW,,4.412221,,,,,,training_loop,1949.9625456850044,,,1949.9625456850044,0.6218844343186126,52691.46193681998,False,,,,,,,12l_768d_100m_tokens_3050_steps,24,12l_768d_100m_tokens_3050_steps_dclm_seed2027_silu_adamw,,
