target_loss,seed,matrixpolicy_step,matrixpolicy_tokens,second_best_method,second_best_step,second_best_tokens,silu_adamw_step,silu_adamw_tokens
4.2,1337,2900,95027200,rlb_lion,2950,96665600,3450,113049600
4.2,2027,2900,95027200,rlb_lion,2900,95027200,3400,111411200
4.2,3407,2750,90112000,rlb_lion,2800,91750400,3300,108134400
4.1,1337,3800,124518400,rlb_lion,3900,127795200,4550,149094400
4.1,2027,3750,122880000,rlb_lion,3850,126156800,4400,144179200
4.1,3407,3650,119603200,rlb_lion,3650,119603200,4350,142540800
4.0,1337,4900,160563200,rlb_lion,5050,165478400,6100,199884800
4.0,2027,4850,158924800,rlb_lion,5000,163840000,6000,196608000
4.0,3407,4700,154009600,rlb_lion,4850,158924800,5750,188416000
3.95,1337,5600,183500800,rlb_lion,5900,193331200,7300,239206400
3.95,2027,5550,181862400,rlb_lion,5850,191692800,7150,234291200
3.95,3407,5400,176947200,rlb_lion,5600,183500800,6850,224460800
3.9,1337,6400,209715200,rlb_lion,6950,227737600,,
3.9,2027,6400,209715200,rlb_lion,6850,224460800,,
3.9,3407,6150,201523200,rlb_lion,6600,216268800,8650,283443200
3.85,1337,7550,247398400,rlb_lion,8800,288358400,,
3.85,2027,7450,244121600,rlb_lion,8800,288358400,,
3.85,3407,7200,235929600,rlb_lion,8050,263782400,,
3.82,1337,8600,281804800,,,,,
3.82,2027,8500,278528000,,,,,
3.82,3407,8050,263782400,,,,,
