run_index,model_scale,dataset,seed,train_tokens,steps_required,steps_completed,status,activation,activation_display_name,optimizer,optimizer_display_name,method,method_display_name,step1000_validation_loss,final_validation_loss,final_validation_perplexity,matched_control_step1000_validation_loss,matched_control_validation_loss,lead_at_step1000_vs_matched_control,lead_vs_matched_control,time_scope,total_seconds,matched_control_total_seconds,total_time_ratio_vs_matched_control,training_loop_total_seconds,mean_seconds_per_step,tokens_per_second,stopped_early,lr_wd_fairness_passed,realized_lr_trace_sha256,slurm_job_id,slurm_restart_count,slurm_node,timing_attempt_id,source_phase,source_row_index,source_row_id,source_jsonl,source_jsonl_sha256
181,12l_768d,c4_en,1337,100000000,3050,3050,complete,rlb_fused_global_rational,GRAIN,muon,Muon,rlb_muon,GRAIN + Muon,,4.476597,,,4.458128,,-0.018468999999999625,training_loop,1594.3552149429452,,,1594.3552149429452,0.4924444788572193,66541.51159546424,False,,,982112,0,badfellow,982112:0:1782482354,12l_768d_100m_tokens_3050_steps,181,12l_768d_100m_tokens_3050_steps_c4_en_seed1337_rlb_muon,,
180,12l_768d,c4_en,1337,100000000,3050,3050,complete,silu,SwiGLU,muon,Muon,silu_muon,SwiGLU + Muon,,4.458128,,,,,,training_loop,1738.4137967669521,,,1738.4137967669521,0.5521676902070279,59344.290839824534,False,,,,,,,12l_768d_100m_tokens_3050_steps,180,12l_768d_100m_tokens_3050_steps_c4_en_seed1337_silu_muon,,
195,12l_768d,c4_en,2027,100000000,3050,3050,complete,rlb_fused_global_rational,GRAIN,muon,Muon,rlb_muon,GRAIN + Muon,,4.487942,,,4.484274,,-0.0036680000000002266,training_loop,1592.682548878016,,,1592.682548878016,0.49409033116775186,66319.85678115753,False,,,982119,0,damle-compute-01,982119:0:1782488544,12l_768d_100m_tokens_3050_steps,195,12l_768d_100m_tokens_3050_steps_c4_en_seed2027_rlb_muon,,
194,12l_768d,c4_en,2027,100000000,3050,3050,complete,silu,SwiGLU,muon,Muon,silu_muon,SwiGLU + Muon,,4.484274,,,,,,training_loop,1341.5407705709804,,,1341.5407705709804,0.4216199135394998,77719.28921694565,False,,,,,,,12l_768d_100m_tokens_3050_steps,194,12l_768d_100m_tokens_3050_steps_c4_en_seed2027_silu_muon,,
209,12l_768d,c4_en,3407,100000000,3050,3050,complete,rlb_fused_global_rational,GRAIN,muon,Muon,rlb_muon,GRAIN + Muon,,4.519032,,,4.504690,,-0.014342000000000077,training_loop,1612.0450466080802,,,1612.0450466080802,0.5001426126540307,65517.31280427205,False,,,982126,0,ellis-compute-02,982126:0:1782492281,12l_768d_100m_tokens_3050_steps,209,12l_768d_100m_tokens_3050_steps_c4_en_seed3407_rlb_muon,,
208,12l_768d,c4_en,3407,100000000,3050,3050,complete,silu,SwiGLU,muon,Muon,silu_muon,SwiGLU + Muon,,4.504690,,,,,,training_loop,1334.9186812510015,,,1334.9186812510015,0.41813897675827333,78366.2892515835,False,,,,,,,12l_768d_100m_tokens_3050_steps,208,12l_768d_100m_tokens_3050_steps_c4_en_seed3407_silu_muon,,
13,12l_768d,dclm,1337,100000000,3050,3050,complete,rlb_fused_global_rational,GRAIN,muon,Muon,rlb_muon,GRAIN + Muon,,4.477408,,,4.442778,,-0.03462999999999994,training_loop,1475.28103659302,,,1475.28103659302,0.4543047371601811,72127.79731250412,False,,,,,,,12l_768d_100m_tokens_3050_steps,13,12l_768d_100m_tokens_3050_steps_dclm_seed1337_rlb_muon,,
12,12l_768d,dclm,1337,100000000,3050,3050,complete,silu,SwiGLU,muon,Muon,silu_muon,SwiGLU + Muon,,4.442778,,,,,,training_loop,2069.141127452982,,,2069.141127452982,0.6598079140195225,49662.93871860175,False,,,,,,,12l_768d_100m_tokens_3050_steps,12,12l_768d_100m_tokens_3050_steps_dclm_seed1337_silu_muon,,
27,12l_768d,dclm,2027,100000000,3050,3050,complete,rlb_fused_global_rational,GRAIN,muon,Muon,rlb_muon,GRAIN + Muon,,4.475743,,,4.465955,,-0.009787999999999464,training_loop,1479.9716782739852,,,1479.9716782739852,0.45701832258351277,71699.53233989251,False,,,982034,0,lancer-compute-01,982034:0:1782429211,12l_768d_100m_tokens_3050_steps,27,12l_768d_100m_tokens_3050_steps_dclm_seed2027_rlb_muon,,
26,12l_768d,dclm,2027,100000000,3050,3050,complete,silu,SwiGLU,muon,Muon,silu_muon,SwiGLU + Muon,,4.465955,,,,,,training_loop,2055.7190837379894,,,2055.7190837379894,0.6565614861845935,49908.501624762095,False,,,,,,,12l_768d_100m_tokens_3050_steps,26,12l_768d_100m_tokens_3050_steps_dclm_seed2027_silu_muon,,
