model_scale,dataset,train_tokens,steps_required,activation,activation_display_name,optimizer,optimizer_display_name,method,method_display_name,runs_total,runs_reached_required_step,runs_stopped_early,runs_non_finite,endpoint_seed_count,validation_loss_mean,validation_loss_sample_std,matched_control_seed_count,matched_control_validation_loss_mean,lead_vs_matched_control_mean,lead_vs_matched_control_sample_std,exact_time_ratio_seed_count,exact_total_time_ratio_mean,exact_total_time_ratio_sample_std,total_seconds_mean,total_seconds_sample_std,mean_seconds_per_step,tokens_per_second_mean,status
12l_768d,c4_en,100000000,3050,rlb_fused_global_rational,GRAIN,tiller_v1,TILLER,tiller,TILLER,3,3,0,0,3,4.3686173756917315,0.018309677162559407,3,4.446912,0.07829462430826813,0.0023846522848018385,0,,,1443.660566861586,52.78793321429519,0.4433430909241851,73980.15455791079,complete
12l_768d,c4_en,300000000,9150,rlb_fused_global_rational,GRAIN,tiller_v1,TILLER,tiller,TILLER,3,0,0,0,0,,,3,3.925105253855387,,,0,,,,,,,pending
12l_768d,dclm,100000000,3050,rlb_fused_global_rational,GRAIN,tiller_v1,TILLER,tiller,TILLER,3,3,0,0,3,4.3395053545633955,0.00765964946943268,3,4.405573666666666,0.0660683121032714,0.00260352303320104,0,,,1447.0174935109292,57.98514584316341,0.443235615562644,74007.49550625902,complete
12l_768d,dclm,300000000,9150,rlb_fused_global_rational,GRAIN,tiller_v1,TILLER,tiller,TILLER,3,0,0,0,0,,,3,3.9972660541534424,,,0,,,,,,,pending
12l_768d,dolma_sample,100000000,3050,rlb_fused_global_rational,GRAIN,tiller_v1,TILLER,tiller,TILLER,3,3,0,0,3,4.408597628275554,0.0028461157871935362,3,4.486161333333333,0.07756370505777976,0.0021233893118894572,0,,,1475.8084272980147,54.68106623104766,0.4532556258094333,72368.74423884564,complete
12l_768d,dolma_sample,300000000,9150,rlb_fused_global_rational,GRAIN,tiller_v1,TILLER,tiller,TILLER,3,0,0,0,0,,,3,3.858114322026571,,,0,,,,,,,pending
12l_768d,fineweb,100000000,3050,rlb_fused_global_rational,GRAIN,tiller_v1,TILLER,tiller,TILLER,3,3,0,0,3,4.4016032218933105,0.014061990443814835,3,4.475840666666667,0.07423744477335603,0.004771598210124735,0,,,1443.9091035330202,53.5937486981794,0.44355607763689503,73947.08552208506,complete
12l_768d,fineweb,300000000,9150,rlb_fused_global_rational,GRAIN,tiller_v1,TILLER,tiller,TILLER,3,0,0,0,0,,,3,4.006566683451335,,,0,,,,,,,pending
12l_768d,fineweb_edu,100000000,3050,rlb_fused_global_rational,GRAIN,tiller_v1,TILLER,tiller,TILLER,3,3,0,0,3,4.167037645975749,0.012321144664080927,3,4.237481,0.07044335402425113,0.004789772049159833,0,,,1476.1548517526437,51.49231833224602,0.45294640160490185,72408.37209674528,complete
12l_768d,fineweb_edu,300000000,9150,rlb_fused_global_rational,GRAIN,tiller_v1,TILLER,tiller,TILLER,3,0,0,0,0,,,3,3.745389461517334,,,0,,,,,,,pending
18l_1024d,c4_en,100000000,3050,rlb_fused_global_rational,GRAIN,tiller_v1,TILLER,tiller,TILLER,3,0,0,0,0,,,0,,,,0,,,,,,,pending
18l_1024d,dclm,100000000,3050,rlb_fused_global_rational,GRAIN,tiller_v1,TILLER,tiller,TILLER,3,0,0,0,0,,,0,,,,0,,,,,,,pending
18l_1024d,dolma_sample,100000000,3050,rlb_fused_global_rational,GRAIN,tiller_v1,TILLER,tiller,TILLER,3,0,0,0,0,,,0,,,,0,,,,,,,pending
18l_1024d,fineweb,100000000,3050,rlb_fused_global_rational,GRAIN,tiller_v1,TILLER,tiller,TILLER,3,0,0,0,0,,,0,,,,0,,,,,,,pending
18l_1024d,fineweb_edu,100000000,3050,rlb_fused_global_rational,GRAIN,tiller_v1,TILLER,tiller,TILLER,3,0,0,0,0,,,0,,,,0,,,,,,,pending
