run_index,model_scale,dataset,seed,train_tokens,steps_required,steps_completed,status,activation,activation_display_name,optimizer,optimizer_display_name,method,method_display_name,step1000_validation_loss,final_validation_loss,final_validation_perplexity,matched_control_step1000_validation_loss,matched_control_validation_loss,lead_at_step1000_vs_matched_control,lead_vs_matched_control,time_scope,total_seconds,matched_control_total_seconds,total_time_ratio_vs_matched_control,training_loop_total_seconds,mean_seconds_per_step,tokens_per_second,stopped_early,lr_wd_fairness_passed,realized_lr_trace_sha256,slurm_job_id,slurm_restart_count,slurm_node,timing_attempt_id,source_phase,source_row_index,source_row_id,source_jsonl,source_jsonl_sha256
57,18l_1024d,c4_en,1337,100000000,3050,0,pending,rlb_fused_global_rational,GRAIN,tiller_then_muon_v1,TILLER→Muon,tiller_then_muon,TILLER→Muon,,,,,,,,,,,,,,,,,,,,,,18l_1024d_100m_tokens_3050_steps,600,18l_1024d_100m_tokens_3050_steps_c4_en_seed1337_silu_muon,,
58,18l_1024d,c4_en,2027,100000000,3050,0,pending,rlb_fused_global_rational,GRAIN,tiller_then_muon_v1,TILLER→Muon,tiller_then_muon,TILLER→Muon,,,,,,,,,,,,,,,,,,,,,,18l_1024d_100m_tokens_3050_steps,614,18l_1024d_100m_tokens_3050_steps_c4_en_seed2027_silu_muon,,
59,18l_1024d,c4_en,3407,100000000,3050,0,pending,rlb_fused_global_rational,GRAIN,tiller_then_muon_v1,TILLER→Muon,tiller_then_muon,TILLER→Muon,,,,,,,,,,,,,,,,,,,,,,18l_1024d_100m_tokens_3050_steps,628,18l_1024d_100m_tokens_3050_steps_c4_en_seed3407_silu_muon,,
45,18l_1024d,dclm,1337,100000000,3050,0,pending,rlb_fused_global_rational,GRAIN,tiller_then_muon_v1,TILLER→Muon,tiller_then_muon,TILLER→Muon,,,,,,,,,,,,,,,,,,,,,,18l_1024d_100m_tokens_3050_steps,432,18l_1024d_100m_tokens_3050_steps_dclm_seed1337_silu_muon,,
46,18l_1024d,dclm,2027,100000000,3050,0,pending,rlb_fused_global_rational,GRAIN,tiller_then_muon_v1,TILLER→Muon,tiller_then_muon,TILLER→Muon,,,,,,,,,,,,,,,,,,,,,,18l_1024d_100m_tokens_3050_steps,446,18l_1024d_100m_tokens_3050_steps_dclm_seed2027_silu_muon,,
47,18l_1024d,dclm,3407,100000000,3050,0,pending,rlb_fused_global_rational,GRAIN,tiller_then_muon_v1,TILLER→Muon,tiller_then_muon,TILLER→Muon,,,,,,,,,,,,,,,,,,,,,,18l_1024d_100m_tokens_3050_steps,460,18l_1024d_100m_tokens_3050_steps_dclm_seed3407_silu_muon,,
54,18l_1024d,dolma_sample,1337,100000000,3050,0,pending,rlb_fused_global_rational,GRAIN,tiller_then_muon_v1,TILLER→Muon,tiller_then_muon,TILLER→Muon,,,,,,,,,,,,,,,,,,,,,,18l_1024d_100m_tokens_3050_steps,558,18l_1024d_100m_tokens_3050_steps_dolma_sample_seed1337_silu_muon,,
55,18l_1024d,dolma_sample,2027,100000000,3050,0,pending,rlb_fused_global_rational,GRAIN,tiller_then_muon_v1,TILLER→Muon,tiller_then_muon,TILLER→Muon,,,,,,,,,,,,,,,,,,,,,,18l_1024d_100m_tokens_3050_steps,572,18l_1024d_100m_tokens_3050_steps_dolma_sample_seed2027_silu_muon,,
56,18l_1024d,dolma_sample,3407,100000000,3050,0,pending,rlb_fused_global_rational,GRAIN,tiller_then_muon_v1,TILLER→Muon,tiller_then_muon,TILLER→Muon,,,,,,,,,,,,,,,,,,,,,,18l_1024d_100m_tokens_3050_steps,586,18l_1024d_100m_tokens_3050_steps_dolma_sample_seed3407_silu_muon,,
51,18l_1024d,fineweb,1337,100000000,3050,0,pending,rlb_fused_global_rational,GRAIN,tiller_then_muon_v1,TILLER→Muon,tiller_then_muon,TILLER→Muon,,,,,,,,,,,,,,,,,,,,,,18l_1024d_100m_tokens_3050_steps,516,18l_1024d_100m_tokens_3050_steps_fineweb_seed1337_silu_muon,,
