scope,method,method_label,activation,optimizer,runs,steps,train_tokens_per_run,total_seconds_mean,total_seconds_std,total_seconds_min,total_seconds_max,total_minutes_mean,total_hours_mean,mean_seconds_per_step,tokens_per_second_mean
E1_m0_100m_all_datasets,rlb_matrixpolicy_original,RLB+MatrixPolicy,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,15,3050,100000000,2228.50614664287,1219.4408422524536,1403.8377053189906,6514.639861221018,37.1417691107145,0.619029485178575,0.7035553487132975,53078.44668388378
E1_m0_100m_all_datasets,silu_adamw,SiLU+AdamW,silu,adamw,15,3050,100000000,1655.9919771156274,320.50448241039106,1090.211067337019,2024.7113658459857,27.599866285260457,0.4599977714210076,0.5247755026888892,65212.81421901615
E1_m0_100m_all_datasets,rlb_adamw,RLB+AdamW,rlb_fused_fixed_strong_ffn,adamw,15,3050,100000000,1932.475385302216,303.1267050892031,1401.9277125349618,2307.9746835349943,32.207923088370265,0.5367987181395044,0.6031885553998015,55854.086702816334
E1_m0_100m_all_datasets,silu_muon,SiLU+Muon,silu,muon,15,3050,100000000,1766.3110425378507,325.27931744577455,1207.5971767159645,2176.107068687008,29.438517375630845,0.49064195626051404,0.5603856490522241,60754.129701928214
E1_m0_100m_all_datasets,rlb_muon,RLB+Muon,rlb_fused_fixed_strong_ffn,muon,15,3050,100000000,2031.12152979385,300.43077597990833,1506.5250148029882,2425.945799945999,33.85202549656417,0.5642004249427361,0.6348548682922863,52890.20371324974
E1_m0_100m_all_datasets,silu_lion,SiLU+Lion,silu,lion,15,3050,100000000,1673.1421011256268,373.38809475658,1083.9727395409718,2405.884770515957,27.885701685427115,0.46476169475711854,0.5304006409031431,65164.90058782208
E1_m0_100m_all_datasets,rlb_lion,RLB+Lion,rlb_fused_fixed_strong_ffn,lion,15,3050,100000000,1951.0080945260338,350.7617512385719,1397.9122881610529,2660.7070330710267,32.516801575433895,0.5419466929238983,0.6090821668720996,55659.82442379412
E1_m0_100m_all_datasets,silu_soap,SiLU+SOAP,silu,soap_adamw,15,3050,100000000,2172.888364319585,1227.168915285062,1328.2582556480193,6457.091140435019,36.21480607199308,0.6035801011998847,0.6930946605294277,54409.3553884032
E1_m0_100m_all_datasets,rlb_soap,RLB+SOAP,rlb_fused_fixed_strong_ffn,soap_adamw,15,3050,100000000,2252.470799289636,1221.9599298082587,1440.6721992450184,6536.613381284988,37.5411799881606,0.62568633313601,0.7078613123591361,52777.80988737703
E1_m0_100m_all_datasets,silu_ademamix,SiLU+ADeMaMix,silu,ademamix,15,3050,100000000,1940.9931901879802,1150.8163679194292,1118.2353431059746,5940.598578755977,32.349886503133,0.5391647750522167,0.6179849536514527,62068.908924678144
E1_m0_100m_all_datasets,rlb_ademamix,RLB+ADeMaMix,rlb_fused_fixed_strong_ffn,ademamix,15,3050,100000000,2312.2180272841592,1153.1678042965566,1573.2998219409492,6337.787559665972,38.536967121402654,0.6422827853567109,0.700980423404356,53068.84825796772
E1_m0_100m_all_datasets,silu_came,SiLU+CAME,silu,adafactor_came,15,3050,100000000,2041.2057199342294,1227.7959223187522,1195.1965519879595,6328.524847961962,34.020095332237155,0.5670015888706192,0.6508235100683338,58849.89668287424
E1_m0_100m_all_datasets,rlb_came,RLB+CAME,rlb_fused_fixed_strong_ffn,adafactor_came,15,3050,100000000,2335.129555147566,1224.3588438175245,1525.1947217939887,6637.626876890019,38.9188259191261,0.6486470986521017,0.7348844054295215,50395.4971037633
